"날짜","종가","시가","고가","저가","거래량","변동 %"
"2008- 01- 01","943.85","936.15","955.95","931.75","","0.84%"
"2007- 12- 01","936.00","924.30","947.50","918.60","","1.61%"
"2007- 11- 01","921.15","900.65","936.55","900.25","","2.26%"
"2007- 10- 01","900.80","915.40","921.80","899.50","","-1.57%"
"2007- 09- 01","915.15","939.05","941.45","915.05","","-2.47%"
"2007- 08- 01","938.35","920.55","952.55","920.25","","2.07%"
"2007- 07- 01","919.35","922.75","924.05","912.95","","-0.49%"
"2007- 06- 01","923.90","927.80","932.90","923.80","","-0.41%"
"2007- 05- 01","927.75","930.75","935.35","922.35","","-0.33%"
"2007- 04- 01","930.85","940.15","940.35","925.35","","-1.06%"
"2007- 03- 01","940.85","941.65","952.05","936.25","","-0.09%"
"2007- 02- 01","941.70","938.10","942.20","930.20","","0.02%"
"2007- 01- 01","941.50","927.30","943.60","925.20","","1.24%"
"2006- 12- 01","930.00","928.90","932.80","913.10","","0.07%"
"2006- 11- 01","929.35","939.25","944.15","925.35","","-1.37%"
"2006- 10- 01","942.25","945.35","966.75","941.75","","-0.42%"
"2006- 09- 01","946.25","960.75","962.95","940.25","","-1.57%"
"2006- 08- 01","961.30","955.00","967.60","954.70","","0.64%"
"2006- 07- 01","955.15","946.35","960.45","940.35","","0.67%"
"2006- 06- 01","948.75","946.25","964.05","942.45","","0.32%"
"2006- 05- 01","945.70","943.20","954.10","927.20","","0.27%"
"2006- 04- 01","943.20","972.00","972.60","936.30","","-2.92%"
"2006- 03- 01","971.60","968.35","984.70","965.10","","0.06%"
"2006- 02- 01","971.00","965.10","980.40","955.10","","1.16%"
"2006- 01- 01","959.87","1,008.97","1,013.30","959.87","","-4.73%"
"2005- 12- 01","1,007.50","1,033.10","1,040.40","1,003.60","","-2.89%"
"2005- 11- 01","1,037.50","1,042.10","1,052.10","1,030.30","","-0.57%"
"2005- 10- 01","1,043.40","1,048.10","1,063.20","1,036.10","","-0.01%"
"2005- 09- 01","1,043.50","1,032.10","1,044.50","1,021.10","","0.48%"
"2005- 08- 01","1,038.50","1,027.50","1,040.50","1,010.50","","1.49%"
"2005- 07- 01","1,023.30","1,034.00","1,057.80","1,016.40","","-1.18%"
"2005- 06- 01","1,035.50","1,009.00","1,035.50","1,003.40","","2.78%"
"2005- 05- 01","1,007.50","999.30","1,010.70","994.50","","1.04%"
"2005- 04- 01","997.10","1,016.90","1,025.20","996.90","","-2.00%"
"2005- 03- 01","1,017.50","1,002.50","1,026.80","989.40","","1.29%"
"2005- 02- 01","1,004.50","1,027.50","1,044.50","998.40","","-2.14%"
"2005- 01- 01","1,026.50","1,035.50","1,059.50","1,023.50","","-0.84%"
"2004- 12- 01","1,035.20","1,048.60","1,069.40","1,034.70","","-1.27%"
"2004- 11- 01","1,048.50","1,119.00","1,122.50","1,043.60","","-6.34%"
"2004- 10- 01","1,119.50","1,152.80","1,154.60","1,114.50","","-2.78%"
"2004- 09- 01","1,151.50","1,150.50","1,157.50","1,143.50","","-0.03%"
"2004- 08- 01","1,151.85","1,165.15","1,169.35","1,150.65","","-1.26%"
"2004- 07- 01","1,166.50","1,152.50","1,175.30","1,146.50","","1.04%"
"2004- 06- 01","1,154.50","1,158.50","1,167.30","1,145.50","","-0.48%"
"2004- 05- 01","1,160.05","1,174.25","1,192.05","1,159.45","","-1.13%"
"2004- 04- 01","1,173.35","1,144.95","1,179.45","1,139.25","","2.66%"
"2004- 03- 01","1,143.00","1,177.00","1,183.00","1,143.00","","-3.01%"
"2004- 02- 01","1,178.50","1,172.20","1,186.20","1,152.50","","0.60%"
"2004- 01- 01","1,171.50","1,193.50","1,197.70","1,168.50","","-1.76%"
"2003- 12- 01","1,192.50","1,206.50","1,208.50","1,182.50","","-0.79%"
"2003- 11- 01","1,202.05","1,184.05","1,205.55","1,170.05","","1.57%"
"2003- 10- 01","1,183.50","1,152.90","1,189.50","1,145.30","","3.00%"
"2003- 09- 01","1,149.00","1,176.50","1,179.50","1,148.00","","-2.17%"
"2003- 08- 01","1,174.50","1,180.00","1,189.30","1,165.50","","-0.51%"
"2003- 07- 01","1,180.50","1,191.60","1,192.70","1,175.00","","-1.21%"
"2003- 06- 01","1,195.00","1,208.00","1,210.00","1,182.00","","-1.16%"
"2003- 05- 01","1,209.00","1,211.00","1,216.00","1,188.00","","-0.45%"
"2003- 04- 01","1,214.50","1,251.00","1,260.50","1,203.20","","-2.92%"
"2003- 03- 01","1,251.00","1,195.00","1,264.30","1,183.60","","4.80%"
"2003- 02- 01","1,193.65","1,175.05","1,214.05","1,170.05","","2.55%"
"2003- 01- 01","1,164.00","1,189.00","1,198.60","1,161.60","","-1.86%"
"2002- 12- 01","1,186.05","1,209.25","1,231.95","1,182.15","","-1.40%"
"2002- 11- 01","1,202.85","1,225.15","1,230.85","1,194.75","","-1.73%"
"2002- 10- 01","1,224.00","1,225.00","1,268.50","1,213.00","","0.11%"
"2002- 09- 01","1,222.70","1,205.00","1,238.00","1,186.20","","2.16%"
"2002- 08- 01","1,196.90","1,193.00","1,221.00","1,177.80","","1.60%"
"2002- 07- 01","1,178.00","1,208.90","1,212.80","1,155.60","","-2.08%"
"2002- 06- 01","1,203.00","1,228.30","1,235.40","1,188.30","","-0.93%"
"2002- 05- 01","1,214.30","1,289.00","1,290.30","1,214.30","","-5.80%"
"2002- 04- 01","1,289.00","1,329.90","1,337.40","1,288.60","","-2.42%"
"2002- 03- 01","1,320.90","1,318.80","1,332.00","1,309.30","","0.16%"
"2002- 02- 01","1,318.80","1,309.40","1,329.00","1,309.40","","0.72%"
"2002- 01- 01","1,309.40","1,326.00","1,337.00","1,296.00","","-0.31%"
"2001- 12- 01","1,313.50","1,273.10","1,320.50","1,261.40","","3.59%"
"2001- 11- 01","1,268.00","1,302.00","1,302.00","1,257.00","","-1.78%"
"2001- 10- 01","1,291.00","1,304.00","1,326.00","1,291.00","","-1.00%"
"2001- 09- 01","1,304.00","1,284.00","1,318.00","1,273.00","","1.88%"
"2001- 08- 01","1,280.00","1,300.00","1,300.50","1,270.00","","-1.39%"
"2001- 07- 01","1,298.00","1,304.00","1,319.00","1,294.00","","-0.19%"
"2001- 06- 01","1,300.50","1,280.50","1,307.00","1,280.50","","1.52%"
"2001- 05- 01","1,281.00","1,316.00","1,316.00","1,278.00","","-2.73%"
"2001- 04- 01","1,317.00","1,336.50","1,369.00","1,296.00","","-1.05%"
"2001- 03- 01","1,331.00","1,258.00","1,331.50","1,253.00","","6.14%"
"2001- 02- 01","1,253.95","1,260.45","1,273.25","1,232.85","","-0.24%"
"2001- 01- 01","1,257.00","1,261.00","1,292.50","1,241.00","","-0.63%"
"2000- 12- 01","1,265.00","1,218.00","1,276.00","1,182.00","","4.07%"
"2000- 11- 01","1,215.50","1,137.50","1,216.00","1,130.50","","6.86%"
"2000- 10- 01","1,137.50","1,114.00","1,144.00","1,107.50","","2.00%"
"2000- 09- 01","1,115.15","1,108.85","1,134.65","1,103.85","","0.58%"
"2000- 08- 01","1,108.75","1,116.05","1,117.65","1,108.05","","-0.72%"
"2000- 07- 01","1,116.75","1,114.85","1,120.15","1,109.95","","0.15%"
"2000- 06- 01","1,115.03","1,130.12","1,134.12","1,112.62","","-1.28%"
"2000- 05- 01","1,129.50","1,109.50","1,142.50","1,109.20","","1.78%"
"2000- 04- 01","1,109.75","1,107.25","1,116.75","1,104.25","","0.41%"
"2000- 03- 01","1,105.25","1,128.25","1,130.25","1,105.25","","-2.29%"
"2000- 02- 01","1,131.11","1,124.20","1,144.70","1,113.90","","0.68%"
"2000- 01- 01","1,123.50","1,128.50","1,155.50","1,116.50","","-1.06%"
"1999- 12- 01","1,135.50","1,159.00","1,160.70","1,124.50","","-2.05%"
"1999- 11- 01","1,159.25","1,201.25","1,201.25","1,155.25","","-3.36%"
"1999- 10- 01","1,199.50","1,216.50","1,218.50","1,198.50","","-1.40%"
"1999- 09- 01","1,216.50","1,183.50","1,220.50","1,178.50","","3.05%"
"1999- 08- 01","1,180.50","1,201.50","1,209.50","1,180.50","","-1.91%"
"1999- 07- 01","1,203.50","1,157.50","1,213.50","1,157.50","","3.97%"
"1999- 06- 01","1,157.50","1,185.00","1,191.00","1,151.70","","-2.43%"
"1999- 05- 01","1,186.35","1,188.15","1,214.15","1,180.15","","-0.18%"
"1999- 04- 01","1,188.50","1,222.50","1,228.50","1,150.50","","-3.14%"
"1999- 03- 01","1,227.00","1,222.00","1,249.00","1,211.00","","0.29%"
"1999- 02- 01","1,223.50","1,170.00","1,226.00","1,165.00","","4.13%"
"1999- 01- 01","1,175.00","1,190.00","1,198.00","1,147.00","","-2.33%"
"1998- 12- 01","1,203.00","1,242.00","1,246.00","1,187.00","","-3.45%"
"1998- 11- 01","1,246.00","1,318.00","1,323.00","1,235.00","","-5.57%"
"1998- 10- 01","1,319.50","1,385.50","1,391.50","1,309.50","","-5.12%"
"1998- 09- 01","1,390.75","1,350.25","1,410.25","1,317.25","","3.02%"
"1998- 08- 01","1,350.00","1,231.00","1,361.00","1,231.00","","9.71%"
"1998- 07- 01","1,230.50","1,362.50","1,372.50","1,185.50","","-10.38%"
"1998- 06- 01","1,373.00","1,402.00","1,446.00","1,352.00","","-2.45%"
"1998- 05- 01","1,407.50","1,336.50","1,465.50","1,301.50","","5.31%"
"1998- 04- 01","1,336.50","1,380.50","1,489.50","1,328.50","","-3.50%"
"1998- 03- 01","1,385.00","1,610.00","1,645.00","1,342.00","","-15.19%"
"1998- 02- 01","1,633.00","1,502.00","1,731.00","1,502.00","","7.15%"
"1998- 01- 01","1,524.00","1,704.00","1,854.00","1,504.00","","-10.09%"
"1997- 12- 01","1,695.00","1,165.00","1,995.00","1,125.00","","44.93%"
