"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 08- 01","1,115.29","1,111.45","1,128.96","1,089.35","","0.40%"
"2016- 07- 01","1,110.89","1,152.34","1,169.30","1,110.78","","-3.48%"
"2016- 06- 01","1,150.99","1,189.74","1,196.15","1,140.67","","-3.15%"
"2016- 05- 01","1,188.39","1,145.10","1,194.58","1,132.83","","3.90%"
"2016- 04- 01","1,143.83","1,144.97","1,163.60","1,124.09","","-0.01%"
"2016- 03- 01","1,143.97","1,238.24","1,239.49","1,134.59","","-7.54%"
"2016- 02- 01","1,237.24","1,208.11","1,246.00","1,181.12","","2.50%"
"2016- 01- 01","1,207.11","1,175.94","1,221.42","1,175.09","","2.74%"
"2015- 12- 01","1,174.95","1,160.59","1,192.05","1,152.02","","1.32%"
"2015- 11- 01","1,159.61","1,140.66","1,175.78","1,127.15","","1.71%"
"2015- 10- 01","1,140.16","1,185.28","1,185.88","1,119.34","","-3.74%"
"2015- 09- 01","1,184.44","1,182.97","1,209.18","1,158.06","","0.22%"
"2015- 08- 01","1,181.82","1,167.15","1,208.37","1,155.69","","1.39%"
"2015- 07- 01","1,165.67","1,119.41","1,175.14","1,115.14","","4.17%"
"2015- 06- 01","1,119.03","1,113.35","1,128.40","1,097.40","","0.63%"
"2015- 05- 01","1,112.01","1,077.34","1,115.54","1,075.86","","3.31%"
"2015- 04- 01","1,076.34","1,108.99","1,109.50","1,063.30","","-2.86%"
"2015- 03- 01","1,107.99","1,102.05","1,139.11","1,094.29","","0.68%"
"2015- 02- 01","1,100.53","1,101.15","1,116.15","1,083.66","","-0.08%"
"2015- 01- 01","1,101.40","1,093.90","1,112.12","1,073.31","","0.78%"
